x;y
1; 100 
0; 92 
0; 87 
0; 85 
0; 95 
2; 101 
0; 101 
-1; 99 
0; 118 
0; 92 
-2; 83 
-2; 97 
-1; 84 
0; 87 
0; 101 
2; 88 
0; 96 
1; 111 
-2; 110 
-1; 103 
-1; 93 
1; 101 
0; 98 
0; 111 
1; 107 
-1; 105 
0; 79 
-1; 103 
-2; 109 
0; 92 
1; 99 
2; 101 
0; 91 
1; 99 
-2; 114 
0; 101 
0; 117 
0; 93 
-1; 103 
-2; 95 
0; 122 
0; 96 
0; 114 
-1; 91 
-3; 88 
-2; 110 
0; 84 
-1; 96 
1; 106 
-1; 103 
1; 92 
1; 116 
0; 99 
0; 119 
0; 107 
4; 90 
3; 102 
0; 87 
0; 117 
2; 80 
0; 104 
-2; 102 
-2; 88 
3; 112 
-2; 102 
2; 86 
-1; 82 
0; 129 
0; 101 
3; 108 
-3; 100 
0; 109 
2; 102 
1; 105 
-2; 98 
0; 90 
0; 107 
-1; 100 
-1; 109 
0; 95 
0; 118 
-2; 106 
-4; 97 
-1; 107 
0; 93 
2; 105 
1; 89 
-1; 90 
-2; 100 
0; 117 
0; 103 
0; 106 
0; 93 
2; 111 
-1; 106 
2; 108 
0; 103 
0; 103 
0; 101 
-4; 108 
0; 105 
1; 98 
-2; 117 
3; 109 
-1; 105 
3; 96 
-1; 97 
0; 87 
0; 92 
0; 94 
1; 105 
0; 116 
2; 106 
0; 101 
0; 104 
0; 102 
2; 93 
0; 88 
0; 92 
-1; 85 
0; 103 
0; 92 
-1; 85 
0; 105 
-3; 104 
0; 99 
0; 104 
2; 117 
4; 105 
-1; 93 
-4; 80 
-1; 109 
1; 100 
-3; 101 
0; 96 
2; 120 
-3; 114 
0; 92 
-1; 89 
3; 105 
0; 114 
2; 101 
0; 90 
1; 102 
1; 95 
-1; 97 
-2; 96 
0; 92 
1; 107 
2; 104 
1; 106 
0; 98 
-2; 113 
1; 113 
3; 103 
-1; 106 
1; 95 
-1; 109 
3; 98 
-1; 84 
0; 110 
1; 99 
-1; 104 
4; 91 
-2; 107 
0; 84 
-1; 84 
0; 91 
-1; 101 
1; 99 
0; 96 
1; 116 
0; 109 
0; 105 
2; 106 
-2; 92 
-1; 100 
0; 102 
1; 110 
1; 91 
0; 91 
0; 93 
1; 104 
3; 99 
-2; 104 
0; 110 
-1; 113 
0; 113 
-1; 96 
0; 94 
-1; 97 
0; 102 
-2; 91 
0; 108 
-2; 96 
3; 111 
0; 107 
0; 102 
0; 97 
1; 101 
1; 98 
1; 93 
-2; 101 
-2; 91 
-1; 92 
3; 97 
1; 113 
-2; 107 
-1; 91 
-1; 97 
0; 106 
-1; 93 
-3; 114 
0; 102 
0; 106 
-4; 100 
-2; 109 
-3; 102 
0; 110 
2; 89 
-1; 102 
1; 101 
-1; 91 
0; 111 
1; 110 
1; 105 
-3; 79 
0; 80 
0; 95 
0; 102 
2; 101 
-3; 94 
1; 95 
-3; 107 
0; 87 
0; 112 
-1; 85 
-1; 114 
0; 90 
0; 78 
-4; 121 
1; 97 
0; 83 
1; 84 
0; 96 
0; 97 
2; 112 
0; 91 
0; 115 
-3; 107 
2; 108 
2; 98 
2; 109 
1; 92 
2; 98 
0; 91 
0; 107 
1; 94 
0; 94 
0; 81 
1; 100 
0; 100 
0; 91 
-1; 103 
1; 86 
1; 92 
0; 96 
1; 106 
0; 115 
-1; 94 
-4; 85 
1; 97 
2; 91 
-3; 100 
0; 113 
-1; 124 
2; 109 
1; 114 
-2; 116 
0; 110 
0; 92 
-2; 88 
3; 103 
2; 102 
0; 97 
-3; 110 
-1; 95 
-1; 115 
3; 92 
1; 98 
-2; 89 
2; 99 
1; 88 
-1; 106 
-2; 99 
1; 103 
-1; 105 
6; 99 
-1; 106 
2; 96 
0; 100 
0; 77 
0; 92 
2; 100 
1; 118 
-2; 114 
-3; 79 
4; 94 
0; 96 
-2; 105 
2; 117 
0; 106 
4; 113 
0; 92 
0; 85 
0; 80 
1; 98 
2; 95 
-2; 100 
0; 98 
3; 91 
-1; 92 
0; 91 
-2; 108 
0; 116 
0; 99 
-1; 83 
0; 102 
-2; 105 
0; 102 
0; 97 
2; 116 
0; 99 
0; 101 
0; 96 
2; 80 
1; 103 
-1; 101 
0; 109 
-1; 82 
-2; 85 
1; 96 
0; 108 
-2; 81 
-1; 118 
0; 100 
0; 95 
0; 110 
1; 101 
-1; 103 
-4; 89 
1; 100 
2; 82 
2; 104 
0; 97 
2; 105 
0; 79 
-1; 111 
0; 91 
1; 106 
2; 114 
3; 109 
1; 92 
0; 85 
0; 100 
0; 99 
-2; 93 
0; 97 
0; 99 
-2; 92 
-1; 107 
3; 92 
0; 64 
-4; 92 
1; 105 
0; 88 
1; 74 
2; 89 
0; 82 
0; 120 
-1; 95 
0; 108 
0; 118 
-1; 109 
0; 93 
0; 94 
-1; 97 
-2; 112 
0; 98 
0; 94 
-1; 103 
2; 119 
0; 95 
0; 108 
3; 89 
1; 95 
0; 80 
-1; 101 
3; 103 
-1; 99 
0; 96 
3; 92 
0; 94 
0; 90 
0; 102 
1; 113 
0; 101 
-2; 101 
3; 97 
-1; 92 
-2; 119 
-3; 94 
0; 94 
-1; 99 
-2; 103 
2; 100 
0; 119 
1; 95 
3; 90 
-1; 97 
0; 106 
0; 101 
-1; 99 
0; 112 
0; 78 
0; 64 
0; 95 
0; 95 
0; 110 
1; 109 
0; 92 
1; 106 
-1; 116 
1; 96 
0; 98 
2; 82 
-2; 73 
0; 99 
-3; 98 
0; 82 
-1; 101 
0; 100 
1; 122 
-4; 99 
1; 104 
-2; 93 
3; 105 
0; 103 
-1; 126 
0; 83 
0; 99 
-1; 83 
0; 110 
1; 103 
0; 102 
-3; 92 
0; 116 
0; 88 
0; 106 
0; 100 
-1; 97 
1; 105 
-1; 69 
1; 114 
0; 115 
0; 100 
1; 140 
1; 102 
1; 105 
-2; 99 
-1; 106 
0; 108 
1; 113 
2; 97 
-1; 111 
-2; 105 
-6; 90 
-1; 98 
0; 89 
4; 103 
-1; 87 
0; 81 
3; 102 
-1; 88 
-2; 101 
0; 105 
0; 100 
0; 97 
0; 87 
0; 105 
-3; 95 
0; 95 
0; 88 
0; 86 
1; 93 
0; 124 
-1; 86 
1; 111 
-5; 100 
-1; 97 
0; 97 
0; 101 
0; 107 
3; 93 
-2; 110 
0; 109 
-3; 95 
-1; 98 
0; 97 
0; 114 
0; 92 
2; 116 
0; 88 
1; 107 
-1; 98 
1; 111 
0; 103 
1; 91 
0; 99 
0; 97 
2; 91 
2; 99 
0; 90 
0; 101 
0; 91 
-1; 91 
0; 95 
0; 99 
-3; 84 
2; 94 
3; 84 
-2; 102 
0; 101 
-2; 113 
1; 81 
0; 100 
0; 86 
-1; 93 
1; 89 
0; 87 
0; 112 
0; 81 
-1; 107 
-1; 94 
0; 89 
